Suburb,G01_Population_Total,Current_Price_2025,Indian_Population,Indian_Percent,Chinese_Population,Chinese_Percent,Vietnamese_Population,Vietnamese_Percent,Italian_Population,Italian_Percent,Greek_Population,Greek_Percent,Cultural_Diversity_Index
ABERFOYLE PARK,11234.0,880000.0,159.0,1.4153462702510236,165.0,1.4687555634680434,9.0,0.08011393982552964,113.0,1.0058750222538722,46.0,0.4094712479971515,0.9994653682523383
ADELAIDE,18202.0,1130000.0,732.0,4.021536094934622,4562.0,25.063179870343916,394.0,2.1645972970003298,320.0,1.7580485660916385,157.0,0.86254257773871,0.9347144066306595
ALBERT PARK,1780.0,980000.0,49.0,2.752808988764045,31.0,1.741573033707865,29.0,1.6292134831460674,106.0,5.955056179775281,49.0,2.752808988764045,0.9943693978033077
ALBERTON,1860.0,976900.0,11.0,0.5913978494623656,26.0,1.3978494623655915,14.0,0.7526881720430108,59.0,3.1720430107526885,45.0,2.4193548387096775,0.9981214591282229
ALDGATE,3471.0,1420000.0,12.0,0.34572169403630076,22.0,0.6338231057332181,3.0,0.08643042350907519,36.0,1.0371650821089022,19.0,0.547392682224143,0.9998095924406705
ALDINGA,764.0,,0.0,0.0,13.0,1.7015706806282722,0.0,0.0,9.0,1.1780104712041886,10.0,1.3089005235602094,0.9994003727967984
ALDINGA BEACH,10667.0,800000.0,24.0,0.22499296896971968,36.0,0.33748945345457954,5.0,0.04687353520202494,97.0,0.9093465829192838,25.0,0.2343676760101247,0.9998951442488994
ALLENBY GARDENS,2045.0,1200000.0,58.0,2.8361858190709044,60.0,2.93398533007335,44.0,2.15158924205379,153.0,7.481662591687041,126.0,6.161369193154035,0.9884780698345897
ANDREWS FARM,8699.0,707500.0,98.0,1.1265662719852858,58.0,0.6667433038280263,31.0,0.35636280032187606,62.0,0.7127256006437521,17.0,0.19542476146683527,0.9997613138736965
ANGLE PARK,1555.0,900000.0,85.0,5.466237942122187,81.0,5.209003215434083,259.0,16.65594855305466,30.0,1.929260450160772,6.0,0.3858520900321543,0.9661694978339761
ANGLE VALE,4051.0,787500.0,12.0,0.2962231547765984,10.0,0.24685262898049865,8.0,0.1974821031843989,132.0,3.258454702542582,15.0,0.37027894347074797,0.9989057682896562
ASCOT PARK,3588.0,1121000.0,160.0,4.459308807134894,231.0,6.438127090301003,27.0,0.7525083612040134,69.0,1.9230769230769231,39.0,1.0869565217391304,0.9933219116365837
ASHFORD,1157.0,,132.0,11.408815903197926,110.0,9.507346585998272,14.0,1.2100259291270528,19.0,1.6421780466724287,26.0,2.247191011235955,0.9770238501653533
ASHTON,481.0,1205000.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.405405405405405,0.0,0.0,0.9970781592403214
ATHELSTONE,9601.0,1085000.0,210.0,2.1872721591500883,467.0,4.864076658681387,36.0,0.3749609415685866,1354.0,14.102697635662953,162.0,1.6873242370586399,0.9769682859368677
ATHOL PARK,2023.0,906500.0,87.0,4.300543746910529,163.0,8.05734058329214,463.0,22.886801779535343,31.0,1.532377656945131,15.0,0.7414730598121602,0.9389880926928068
AULDANA,629.0,2118000.0,19.0,3.0206677265500796,160.0,25.43720190779014,4.0,0.6359300476947536,70.0,11.128775834658187,21.0,3.338632750397456,0.9208423798342437
BALHANNAH,1756.0,1550000.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.1389521640091116,4.0,0.22779043280182232,0.9998650899486823
BANKSIA PARK,3346.0,880000.0,17.0,0.5080693365212193,20.0,0.5977286312014346,0.0,0.0,55.0,1.6437537358039451,16.0,0.47818290496114757,0.9996454000798163
BASKET RANGE,364.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.1208791208791204,0.0,0.0,0.9983018355271103
BEAUMONT,2731.0,1975750.0,89.0,3.2588795313072136,390.0,14.280483339436104,22.0,0.8055657268399854,74.0,2.709630172098133,33.0,1.2083485902599782,0.9775996361667127
BEDFORD PARK,1882.0,1120000.0,89.0,4.729011689691817,227.0,12.06163655685441,57.0,3.028692879914984,26.0,1.381509032943677,29.0,1.5409139213602552,0.9818697408527117
BELAIR,4718.0,1203250.0,28.0,0.5934718100890208,93.0,1.9711742263671048,14.0,0.2967359050445104,37.0,0.7842306061890632,18.0,0.38151759220008474,0.9994913637865751
BELLEVUE HEIGHTS,2712.0,1115000.0,59.0,2.1755162241887906,121.0,4.461651917404129,5.0,0.18436578171091444,39.0,1.4380530973451326,15.0,0.5530973451327433,0.9972952887200772
BEULAH PARK,1601.0,1617500.0,26.0,1.6239850093691444,76.0,4.747033104309806,15.0,0.9369144284821986,132.0,8.244846970643348,38.0,2.373516552154903,0.9900339458356953
BEVERLEY,1578.0,895000.0,58.0,3.67553865652725,49.0,3.1051964512040557,22.0,1.394169835234474,74.0,4.689480354879595,44.0,2.788339670468948,0.9945138396937613
BIRDWOOD,1376.0,685000.0,0.0,0.0,4.0,0.29069767441860467,0.0,0.0,8.0,0.5813953488372093,5.0,0.3633720930232558,0.999944543503245
BIRKENHEAD,1798.0,950000.0,9.0,0.5005561735261401,5.0,0.27808676307007785,10.0,0.5561735261401557,36.0,2.0022246941045605,31.0,1.7241379310344827,0.9992381226947257
BLACK FOREST,1982.0,1800000.0,56.0,2.825428859737639,63.0,3.1786074672048437,15.0,0.756811301715439,33.0,1.6649848637739657,70.0,3.5317860746720484,0.9966094955507743
BLACKWOOD,4266.0,1100000.0,33.0,0.7735583684950774,52.0,1.2189404594467885,13.0,0.30473511486169713,33.0,0.7735583684950774,15.0,0.35161744022503516,0.9997100900742886
