Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
ADELAIDE,47679,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
MORPHETT VALE,10046,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SALISBURY,9556,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
ELIZABETH,8395,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
OAKLANDS PARK,7939,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
PARALOWIE,6410,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
PROSPECT,6335,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
SMITHFIELD,6244,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
KILBURN,6073,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
MODBURY,6045,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
DAVOREN PARK,5930,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
PARAFIELD GARDENS,5753,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
MAWSON LAKES,5449,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SALISBURY DOWNS,4945,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
SALISBURY NORTH,4795,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
